timestamp,batch_file,state,chosen_action,q_value_action_0,q_value_action_1,q_value_action_2
2025-06-28T18:33:21.223886,gaussian_batch_01_features.csv,0,1,-2.610600902248324,-2.6030579191711114,-2.616703516697727
2025-06-28T18:34:21.332244,gaussian_batch_02_features.csv,0,0,-2.610600902248324,-2.690042629575256,-2.616703516697727
2025-06-28T18:35:20.151145,gaussian_batch_03_features.csv,0,2,-2.697547897737082,-2.690042629575256,-2.616703516697727
2025-06-28T18:36:18.898294,gaussian_batch_04_features.csv,0,1,-2.697547897737082,-2.690042629575256,-2.7036199991142382
2025-06-28T18:37:17.526967,gaussian_batch_05_features.csv,0,0,-2.697547897737082,-2.7765924164273796,-2.7036199991142382
2025-06-28T18:38:16.047663,gaussian_batch_06_features.csv,0,1,-2.784060158248397,-2.7765924164273796,-2.7036199991142382
2025-06-28T18:39:14.735020,gaussian_batch_07_features.csv,0,2,-2.784060158248397,-2.8557770747004945,-2.7036199991142382
2025-06-28T18:40:13.222628,gaussian_batch_08_features.csv,0,0,-2.784060158248397,-2.8557770747004945,-2.790101899118667
2025-06-28T18:41:12.248252,gaussian_batch_09_features.csv,0,2,-2.870139857457155,-2.8557770747004945,-2.790101899118667
2025-06-28T18:42:12.072713,gaussian_batch_10_features.csv,0,0,-2.870139857457155,-2.8557770747004945,-2.8761513896230735
2025-06-28T18:43:10.872893,gaussian_batch_11_features.csv,0,2,-2.9544246938079866,-2.8557770747004945,-2.8761513896230735
2025-06-28T18:44:09.708183,gaussian_batch_12_features.csv,0,1,-2.9544246938079866,-2.8557770747004945,-2.959835072757313
2025-06-28T18:45:08.266344,gaussian_batch_13_features.csv,0,1,-2.9544246938079866,-2.941498189326992,-2.959835072757313
2025-06-28T18:46:06.895453,gaussian_batch_14_features.csv,0,0,-2.9544246938079866,-3.026790698380357,-2.959835072757313
2025-06-28T18:47:05.453862,gaussian_batch_15_features.csv,0,2,-3.0396525703389465,-3.026790698380357,-2.959835072757313
2025-06-28T18:48:04.616403,gaussian_batch_16_features.csv,0,1,-3.0396525703389465,-3.026790698380357,-3.0450358973935265
2025-06-28T18:49:03.559722,gaussian_batch_17_features.csv,0,0,-3.0396525703389465,-3.1116567448884553,-3.0450358973935265
2025-06-28T18:50:05.333200,gaussian_batch_18_features.csv,0,2,-3.1244543074872517,-3.1116567448884553,-3.0450358973935265
2025-06-28T18:51:03.103366,gaussian_batch_19_features.csv,0,1,-3.1244543074872517,-3.1116567448884553,-3.129810717906559
2025-06-28T18:52:00.840989,gaussian_batch_20_features.csv,0,0,-3.1244543074872517,-3.196098461164013,-3.129810717906559
